ISO3,region
NAN,Unmapped
TWN,Asia
KGZ,Asia
CRI,North America
ZWE,Africa
PRK,Asia
COD,Africa
SXM,North America
BES,North America
CUW,North America
MOZ,Africa
MDG,Africa
SEN,Africa
BDI,Africa
BEN,Africa
COG,Africa
DJI,Africa
CMR,Africa
GRL,North America
GNQ,Africa
LBR,Africa
LBY,Africa
GIN,Africa
GNB,Africa
GAB,Africa
SPM,North America
MUS,Africa
NER,Africa
CPV,Africa
GMB,Africa
FRO,Europe
CIV,Africa
CAF,Africa
BFA,Africa
ZMB,Africa
UGA,Africa
TGO,Africa
VCT,North America
TCD,Africa
SDN,Africa
RWA,Africa
MWI,Africa
SLE,Africa
SOM,Africa
SSD,Africa
TZA,Africa
STP,Africa
SWZ,Africa
PYF,Oceania
COM,Africa
LIE,Europe
MRT,Africa
MLI,Africa
SYC,Africa
COK,Oceania
NIU,Oceania
BWA,Africa
CXR,Asia
SHN,Africa
ERI,Africa
LSO,Africa
PSE,Asia
WLF,Oceania
TCA,North America
NAM,Africa
TLS,Asia
